model,model_key,component,sample_size,folds,raw_negative_predictions,validation_predictions,raw_nonnegativity_violation_percent_mean,raw_nonnegativity_violation_percent_sample_sd
AdaBoost,adaboost_regressor,S_NO3,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,S_N2,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,S_PO4,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,S_I,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,S_ALK,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_I,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_S,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_H,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_PAO,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_PP,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_PHA,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_AOB,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_NOB,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_MeP,10000,5,0,10000,0.0,0.0
AdaBoost,adaboost_regressor,X_MeOH,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_O,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_F,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_A,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_NH4,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_NO2,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_NO3,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_N2,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_PO4,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_I,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,S_ALK,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_I,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_S,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_H,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_PAO,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_PP,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_PHA,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_AOB,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_NOB,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_MeP,10000,5,0,10000,0.0,0.0
Random Forest,random_forest_regressor,X_MeOH,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_O,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_F,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_A,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_NH4,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_NO2,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_NO3,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_N2,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_PO4,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_I,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,S_ALK,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_I,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_S,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_H,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_PAO,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_PP,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_PHA,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_AOB,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_NOB,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_MeP,10000,5,0,10000,0.0,0.0
Extra Trees,extra_trees_regressor,X_MeOH,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,S_O,10000,5,797,10000,7.970000000000001,0.4644889664997433
SVR,svr_regressor,S_F,10000,5,61,10000,0.6100000000000001,0.29025850547399984
SVR,svr_regressor,S_A,10000,5,3513,10000,35.13,0.7934103604062636
SVR,svr_regressor,S_NH4,10000,5,1960,10000,19.6,0.8529361054615996
SVR,svr_regressor,S_NO2,10000,5,1813,10000,18.130000000000003,1.018945533382428
SVR,svr_regressor,S_NO3,10000,5,1588,10000,15.88,0.48036444497901815
SVR,svr_regressor,S_N2,10000,5,843,10000,8.430000000000001,0.35637059362411017
SVR,svr_regressor,S_PO4,10000,5,460,10000,4.6,0.41079191812887456
SVR,svr_regressor,S_I,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,S_ALK,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,X_I,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,X_S,10000,5,96,10000,0.96,0.3507135583350036
SVR,svr_regressor,X_H,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,X_PAO,10000,5,0,10000,0.0,0.0
SVR,svr_regressor,X_PP,10000,5,417,10000,4.17,0.5251190341246451
SVR,svr_regressor,X_PHA,10000,5,988,10000,9.879999999999999,0.305368629692049
SVR,svr_regressor,X_AOB,10000,5,7,10000,0.07,0.044721359549995794
SVR,svr_regressor,X_NOB,10000,5,2,10000,0.02,0.027386127875258306
SVR,svr_regressor,X_MeP,10000,5,36,10000,0.36,0.11401754250991379
SVR,svr_regressor,X_MeOH,10000,5,431,10000,4.3100000000000005,0.3416869912653978
k-NN,knn_regressor,S_O,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_F,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_A,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_NH4,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_NO2,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_NO3,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_N2,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_PO4,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_I,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,S_ALK,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_I,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_S,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_H,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_PAO,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_PP,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_PHA,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_AOB,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_NOB,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_MeP,10000,5,0,10000,0.0,0.0
k-NN,knn_regressor,X_MeOH,10000,5,0,10000,0.0,0.0
