colA,colB,colC,colD,colE,colF,colG,colH
$X_{H}$,g COD m$^{-3}$,SVR,$0.174\pm0.005$,$0.285\pm0.013$,$+0.111\pm0.014$,$0.970\pm0.001$,$0.918\pm0.007$
$X_{H}$,g COD m$^{-3}$,$k$-NN,$0.542\pm0.018$,$0.889\pm0.014$,$+0.346\pm0.008$,$0.706\pm0.008$,$0.210\pm0.018$
$X_{H}$,g COD m$^{-3}$,PLS,$0.859\pm0.019$,$0.987\pm0.024$,$+0.128\pm0.019$,$0.262\pm0.011$,$0.025\pm0.051$
$X_{H}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.420\pm0.011$,$0.471\pm0.012$,$+0.051\pm0.008$,$0.823\pm0.005$,$0.778\pm0.005$
$X_{H}$,g COD m$^{-3}$,Multi-task Lasso,$0.420\pm0.011$,$0.471\pm0.012$,$+0.051\pm0.008$,$0.823\pm0.005$,$0.778\pm0.005$
$X_{H}$,g COD m$^{-3}$,MLP,$0.092\pm0.011$,$0.157\pm0.024$,$+0.065\pm0.019$,$0.991\pm0.002$,$0.975\pm0.008$
$X_{H}$,g COD m$^{-3}$,TabNet,$0.208\pm0.051$,$0.398\pm0.035$,$+0.190\pm0.036$,$0.954\pm0.025$,$0.840\pm0.033$
$X_{PAO}$,g COD m$^{-3}$,XGBoost,$0.109\pm0.005$,$0.113\pm0.004$,$+0.004\pm0.002$,$0.988\pm0.001$,$0.987\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,LightGBM,$0.104\pm0.004$,$0.107\pm0.004$,$+0.003\pm0.002$,$0.989\pm0.001$,$0.989\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,CatBoost,$0.093\pm0.006$,$0.096\pm0.005$,$+0.003\pm0.001$,$0.991\pm0.001$,$0.991\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,AdaBoost,$0.220\pm0.002$,$0.239\pm0.003$,$+0.018\pm0.001$,$0.951\pm0.001$,$0.943\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,Random Forest,$0.609\pm0.011$,$0.611\pm0.008$,$+0.002\pm0.003$,$0.629\pm0.003$,$0.626\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,Extra Trees,$0.402\pm0.010$,$0.413\pm0.010$,$+0.010\pm0.003$,$0.838\pm0.004$,$0.830\pm0.004$
$X_{PAO}$,g COD m$^{-3}$,SVR,$0.140\pm0.004$,$0.144\pm0.005$,$+0.004\pm0.002$,$0.980\pm0.001$,$0.979\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,$k$-NN,$0.478\pm0.009$,$0.483\pm0.008$,$+0.005\pm0.002$,$0.772\pm0.003$,$0.767\pm0.003$
$X_{PAO}$,g COD m$^{-3}$,PLS,$0.611\pm0.023$,$0.605\pm0.022$,$-0.006\pm0.005$,$0.627\pm0.025$,$0.634\pm0.023$
$X_{PAO}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.178\pm0.004$,$0.175\pm0.004$,$-0.002\pm0.001$,$0.968\pm0.001$,$0.969\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,Multi-task Lasso,$0.178\pm0.004$,$0.175\pm0.004$,$-0.002\pm0.001$,$0.968\pm0.001$,$0.969\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,MLP,$0.091\pm0.005$,$0.093\pm0.006$,$+0.002\pm0.001$,$0.992\pm0.001$,$0.991\pm0.001$
$X_{PAO}$,g COD m$^{-3}$,TabNet,$0.203\pm0.037$,$0.202\pm0.031$,$-0.001\pm0.008$,$0.957\pm0.018$,$0.958\pm0.015$
$X_{PP}$,g P m$^{-3}$,XGBoost,$0.300\pm0.012$,$0.312\pm0.011$,$+0.012\pm0.004$,$0.910\pm0.009$,$0.903\pm0.008$
$X_{PP}$,g P m$^{-3}$,LightGBM,$0.297\pm0.009$,$0.306\pm0.009$,$+0.009\pm0.005$,$0.912\pm0.005$,$0.906\pm0.006$
$X_{PP}$,g P m$^{-3}$,CatBoost,$0.286\pm0.007$,$0.282\pm0.006$,$-0.004\pm0.004$,$0.918\pm0.006$,$0.920\pm0.005$
$X_{PP}$,g P m$^{-3}$,AdaBoost,$0.628\pm0.011$,$0.643\pm0.008$,$+0.015\pm0.003$,$0.606\pm0.006$,$0.587\pm0.007$
$X_{PP}$,g P m$^{-3}$,Random Forest,$0.729\pm0.009$,$0.673\pm0.009$,$-0.056\pm0.010$,$0.467\pm0.013$,$0.546\pm0.021$
$X_{PP}$,g P m$^{-3}$,Extra Trees,$0.614\pm0.009$,$0.533\pm0.006$,$-0.081\pm0.009$,$0.623\pm0.013$,$0.716\pm0.013$
$X_{PP}$,g P m$^{-3}$,SVR,$0.392\pm0.011$,$0.378\pm0.009$,$-0.014\pm0.003$,$0.846\pm0.008$,$0.857\pm0.007$
$X_{PP}$,g P m$^{-3}$,$k$-NN,$0.624\pm0.009$,$0.602\pm0.008$,$-0.021\pm0.009$,$0.611\pm0.008$,$0.637\pm0.012$
$X_{PP}$,g P m$^{-3}$,PLS,$0.770\pm0.019$,$0.620\pm0.006$,$-0.150\pm0.015$,$0.407\pm0.014$,$0.615\pm0.010$
$X_{PP}$,g P m$^{-3}$,Multi-task Elastic Net,$0.588\pm0.011$,$0.582\pm0.010$,$-0.006\pm0.003$,$0.653\pm0.011$,$0.661\pm0.010$
$X_{PP}$,g P m$^{-3}$,Multi-task Lasso,$0.588\pm0.011$,$0.582\pm0.010$,$-0.006\pm0.003$,$0.653\pm0.011$,$0.661\pm0.010$
$X_{PP}$,g P m$^{-3}$,MLP,$0.152\pm0.014$,$0.143\pm0.013$,$-0.009\pm0.003$,$0.977\pm0.005$,$0.979\pm0.004$
$X_{PP}$,g P m$^{-3}$,TabNet,$0.302\pm0.044$,$0.288\pm0.035$,$-0.014\pm0.010$,$0.907\pm0.028$,$0.916\pm0.022$
$X_{PHA}$,g COD m$^{-3}$,XGBoost,$0.311\pm0.015$,$0.311\pm0.015$,$-0.001\pm0.000$,$0.903\pm0.006$,$0.903\pm0.006$
$X_{PHA}$,g COD m$^{-3}$,LightGBM,$0.303\pm0.011$,$0.302\pm0.011$,$-0.001\pm0.000$,$0.908\pm0.006$,$0.909\pm0.006$
$X_{PHA}$,g COD m$^{-3}$,CatBoost,$0.295\pm0.009$,$0.293\pm0.009$,$-0.002\pm0.000$,$0.913\pm0.004$,$0.914\pm0.004$
$X_{PHA}$,g COD m$^{-3}$,AdaBoost,$0.659\pm0.023$,$0.660\pm0.023$,$+0.001\pm0.000$,$0.565\pm0.025$,$0.564\pm0.026$
$X_{PHA}$,g COD m$^{-3}$,Random Forest,$0.714\pm0.015$,$0.715\pm0.015$,$+0.001\pm0.001$,$0.490\pm0.009$,$0.489\pm0.009$
$X_{PHA}$,g COD m$^{-3}$,Extra Trees,$0.619\pm0.016$,$0.620\pm0.016$,$+0.001\pm0.001$,$0.617\pm0.010$,$0.615\pm0.011$
$X_{PHA}$,g COD m$^{-3}$,SVR,$0.415\pm0.011$,$0.406\pm0.011$,$-0.010\pm0.001$,$0.827\pm0.005$,$0.835\pm0.005$
$X_{PHA}$,g COD m$^{-3}$,$k$-NN,$0.636\pm0.014$,$0.636\pm0.013$,$+0.000\pm0.000$,$0.596\pm0.006$,$0.596\pm0.006$
$X_{PHA}$,g COD m$^{-3}$,PLS,$0.741\pm0.014$,$0.733\pm0.015$,$-0.008\pm0.001$,$0.450\pm0.008$,$0.462\pm0.009$
$X_{PHA}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.600\pm0.016$,$0.579\pm0.017$,$-0.021\pm0.005$,$0.640\pm0.011$,$0.665\pm0.014$
$X_{PHA}$,g COD m$^{-3}$,Multi-task Lasso,$0.600\pm0.016$,$0.579\pm0.017$,$-0.021\pm0.004$,$0.640\pm0.011$,$0.665\pm0.014$
$X_{PHA}$,g COD m$^{-3}$,MLP,$0.166\pm0.011$,$0.164\pm0.011$,$-0.003\pm0.001$,$0.972\pm0.004$,$0.973\pm0.004$
$X_{PHA}$,g COD m$^{-3}$,TabNet,$0.350\pm0.092$,$0.344\pm0.095$,$-0.006\pm0.004$,$0.869\pm0.078$,$0.872\pm0.079$
$X_{AOB}$,g COD m$^{-3}$,XGBoost,$0.110\pm0.004$,$0.110\pm0.004$,$-0.001\pm0.000$,$0.988\pm0.001$,$0.988\pm0.001$
$X_{AOB}$,g COD m$^{-3}$,LightGBM,$0.105\pm0.004$,$0.104\pm0.003$,$-0.001\pm0.000$,$0.989\pm0.001$,$0.989\pm0.001$
$X_{AOB}$,g COD m$^{-3}$,CatBoost,$0.084\pm0.002$,$0.084\pm0.002$,$-0.000\pm0.000$,$0.993\pm0.000$,$0.993\pm0.000$
$X_{AOB}$,g COD m$^{-3}$,AdaBoost,$0.448\pm0.004$,$0.446\pm0.004$,$-0.002\pm0.000$,$0.799\pm0.004$,$0.801\pm0.004$
$X_{AOB}$,g COD m$^{-3}$,Random Forest,$0.892\pm0.009$,$0.884\pm0.008$,$-0.009\pm0.001$,$0.204\pm0.010$,$0.219\pm0.009$
$X_{AOB}$,g COD m$^{-3}$,Extra Trees,$0.557\pm0.005$,$0.556\pm0.005$,$-0.001\pm0.001$,$0.690\pm0.005$,$0.691\pm0.005$
$X_{AOB}$,g COD m$^{-3}$,SVR,$0.165\pm0.002$,$0.164\pm0.002$,$-0.001\pm0.000$,$0.973\pm0.001$,$0.973\pm0.001$
$X_{AOB}$,g COD m$^{-3}$,$k$-NN,$0.508\pm0.005$,$0.505\pm0.004$,$-0.002\pm0.000$,$0.742\pm0.004$,$0.745\pm0.004$
$X_{AOB}$,g COD m$^{-3}$,PLS,$0.644\pm0.018$,$0.647\pm0.018$,$+0.003\pm0.001$,$0.585\pm0.021$,$0.582\pm0.022$
$X_{AOB}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.335\pm0.004$,$0.332\pm0.004$,$-0.003\pm0.000$,$0.888\pm0.003$,$0.890\pm0.003$
$X_{AOB}$,g COD m$^{-3}$,Multi-task Lasso,$0.335\pm0.004$,$0.332\pm0.004$,$-0.003\pm0.000$,$0.888\pm0.003$,$0.890\pm0.003$
$X_{AOB}$,g COD m$^{-3}$,MLP,$0.080\pm0.007$,$0.080\pm0.007$,$-0.000\pm0.000$,$0.993\pm0.001$,$0.993\pm0.001$
$X_{AOB}$,g COD m$^{-3}$,TabNet,$0.164\pm0.035$,$0.163\pm0.035$,$-0.001\pm0.001$,$0.972\pm0.013$,$0.972\pm0.013$
$X_{NOB}$,g COD m$^{-3}$,XGBoost,$0.120\pm0.003$,$0.120\pm0.003$,$-0.000\pm0.000$,$0.986\pm0.001$,$0.986\pm0.001$
$X_{NOB}$,g COD m$^{-3}$,LightGBM,$0.116\pm0.003$,$0.116\pm0.003$,$-0.000\pm0.000$,$0.987\pm0.001$,$0.987\pm0.001$
$X_{NOB}$,g COD m$^{-3}$,CatBoost,$0.100\pm0.004$,$0.100\pm0.004$,$-0.000\pm0.000$,$0.990\pm0.001$,$0.990\pm0.001$
$X_{NOB}$,g COD m$^{-3}$,AdaBoost,$0.314\pm0.003$,$0.311\pm0.003$,$-0.003\pm0.000$,$0.901\pm0.003$,$0.903\pm0.003$
$X_{NOB}$,g COD m$^{-3}$,Random Forest,$0.925\pm0.010$,$0.920\pm0.011$,$-0.005\pm0.001$,$0.144\pm0.019$,$0.154\pm0.018$
$X_{NOB}$,g COD m$^{-3}$,Extra Trees,$0.511\pm0.009$,$0.511\pm0.010$,$-0.000\pm0.001$,$0.738\pm0.009$,$0.739\pm0.009$
$X_{NOB}$,g COD m$^{-3}$,SVR,$0.170\pm0.003$,$0.170\pm0.003$,$-0.000\pm0.000$,$0.971\pm0.001$,$0.971\pm0.001$
$X_{NOB}$,g COD m$^{-3}$,$k$-NN,$0.501\pm0.004$,$0.500\pm0.004$,$-0.001\pm0.001$,$0.749\pm0.003$,$0.750\pm0.002$
$X_{NOB}$,g COD m$^{-3}$,PLS,$0.846\pm0.017$,$0.839\pm0.018$,$-0.007\pm0.001$,$0.284\pm0.020$,$0.295\pm0.021$
$X_{NOB}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.246\pm0.002$,$0.244\pm0.002$,$-0.002\pm0.000$,$0.940\pm0.002$,$0.941\pm0.002$
$X_{NOB}$,g COD m$^{-3}$,Multi-task Lasso,$0.246\pm0.002$,$0.244\pm0.002$,$-0.002\pm0.000$,$0.940\pm0.002$,$0.941\pm0.002$
$X_{NOB}$,g COD m$^{-3}$,MLP,$0.089\pm0.012$,$0.089\pm0.012$,$-0.000\pm0.000$,$0.992\pm0.002$,$0.992\pm0.002$
$X_{NOB}$,g COD m$^{-3}$,TabNet,$0.221\pm0.131$,$0.220\pm0.132$,$-0.001\pm0.001$,$0.938\pm0.078$,$0.938\pm0.078$
$X_{MeP}$,g TSS m$^{-3}$,XGBoost,$0.220\pm0.008$,$0.198\pm0.004$,$-0.022\pm0.005$,$0.951\pm0.005$,$0.961\pm0.002$
$X_{MeP}$,g TSS m$^{-3}$,LightGBM,$0.205\pm0.009$,$0.187\pm0.005$,$-0.019\pm0.005$,$0.958\pm0.005$,$0.965\pm0.003$
$X_{MeP}$,g TSS m$^{-3}$,CatBoost,$0.195\pm0.003$,$0.185\pm0.004$,$-0.010\pm0.003$,$0.962\pm0.002$,$0.966\pm0.002$
$X_{MeP}$,g TSS m$^{-3}$,AdaBoost,$0.529\pm0.010$,$0.395\pm0.007$,$-0.134\pm0.009$,$0.720\pm0.016$,$0.844\pm0.008$
$X_{MeP}$,g TSS m$^{-3}$,Random Forest,$0.937\pm0.015$,$0.489\pm0.009$,$-0.449\pm0.019$,$0.121\pm0.005$,$0.761\pm0.013$
$X_{MeP}$,g TSS m$^{-3}$,Extra Trees,$0.803\pm0.014$,$0.357\pm0.011$,$-0.446\pm0.017$,$0.355\pm0.009$,$0.872\pm0.009$
$X_{MeP}$,g TSS m$^{-3}$,SVR,$0.220\pm0.003$,$0.203\pm0.003$,$-0.017\pm0.003$,$0.951\pm0.002$,$0.959\pm0.002$
$X_{MeP}$,g TSS m$^{-3}$,$k$-NN,$0.522\pm0.008$,$0.334\pm0.004$,$-0.188\pm0.007$,$0.727\pm0.006$,$0.889\pm0.003$
$X_{MeP}$,g TSS m$^{-3}$,PLS,$0.868\pm0.023$,$0.383\pm0.010$,$-0.485\pm0.028$,$0.245\pm0.030$,$0.853\pm0.010$
$X_{MeP}$,g TSS m$^{-3}$,Multi-task Elastic Net,$0.379\pm0.009$,$0.353\pm0.010$,$-0.026\pm0.001$,$0.856\pm0.010$,$0.875\pm0.009$
$X_{MeP}$,g TSS m$^{-3}$,Multi-task Lasso,$0.379\pm0.009$,$0.353\pm0.010$,$-0.026\pm0.001$,$0.856\pm0.010$,$0.875\pm0.009$
$X_{MeP}$,g TSS m$^{-3}$,MLP,$0.125\pm0.008$,$0.109\pm0.005$,$-0.016\pm0.004$,$0.984\pm0.002$,$0.988\pm0.001$
$X_{MeP}$,g TSS m$^{-3}$,TabNet,$0.255\pm0.066$,$0.178\pm0.020$,$-0.077\pm0.058$,$0.931\pm0.037$,$0.968\pm0.007$
$X_{MeOH}$,g TSS m$^{-3}$,XGBoost,$0.337\pm0.008$,$0.332\pm0.008$,$-0.005\pm0.005$,$0.886\pm0.008$,$0.890\pm0.007$
$X_{MeOH}$,g TSS m$^{-3}$,LightGBM,$0.317\pm0.010$,$0.312\pm0.009$,$-0.005\pm0.005$,$0.899\pm0.009$,$0.902\pm0.008$
$X_{MeOH}$,g TSS m$^{-3}$,CatBoost,$0.316\pm0.009$,$0.309\pm0.008$,$-0.007\pm0.003$,$0.900\pm0.005$,$0.904\pm0.004$
$X_{MeOH}$,g TSS m$^{-3}$,AdaBoost,$0.675\pm0.016$,$0.661\pm0.014$,$-0.014\pm0.003$,$0.544\pm0.020$,$0.562\pm0.021$
$X_{MeOH}$,g TSS m$^{-3}$,Random Forest,$0.906\pm0.028$,$0.818\pm0.022$,$-0.088\pm0.006$,$0.179\pm0.006$,$0.330\pm0.010$
$X_{MeOH}$,g TSS m$^{-3}$,Extra Trees,$0.700\pm0.026$,$0.598\pm0.022$,$-0.102\pm0.010$,$0.510\pm0.006$,$0.642\pm0.012$
$X_{MeOH}$,g TSS m$^{-3}$,SVR,$0.351\pm0.006$,$0.340\pm0.005$,$-0.012\pm0.002$,$0.876\pm0.009$,$0.884\pm0.008$
$X_{MeOH}$,g TSS m$^{-3}$,$k$-NN,$0.615\pm0.012$,$0.558\pm0.008$,$-0.056\pm0.006$,$0.622\pm0.013$,$0.687\pm0.015$
$X_{MeOH}$,g TSS m$^{-3}$,PLS,$0.810\pm0.030$,$0.641\pm0.021$,$-0.168\pm0.014$,$0.344\pm0.016$,$0.588\pm0.011$
$X_{MeOH}$,g TSS m$^{-3}$,Multi-task Elastic Net,$0.634\pm0.021$,$0.590\pm0.021$,$-0.044\pm0.001$,$0.598\pm0.003$,$0.652\pm0.004$
$X_{MeOH}$,g TSS m$^{-3}$,Multi-task Lasso,$0.634\pm0.021$,$0.590\pm0.021$,$-0.044\pm0.001$,$0.598\pm0.003$,$0.652\pm0.004$
$X_{MeOH}$,g TSS m$^{-3}$,MLP,$0.189\pm0.008$,$0.182\pm0.009$,$-0.007\pm0.002$,$0.964\pm0.003$,$0.967\pm0.004$
$X_{MeOH}$,g TSS m$^{-3}$,TabNet,$0.314\pm0.048$,$0.298\pm0.033$,$-0.016\pm0.020$,$0.898\pm0.033$,$0.910\pm0.022$
