model_key,component,projected,raw,delta_component_nRMSE
adaboost_regressor,S_A,0.6004317239602189,0.5965985603750144,0.0038331635852045798
adaboost_regressor,S_ALK,0.01635435134123448,0.07572357106259467,-0.05936921972136019
adaboost_regressor,S_F,1.1470742957003668,0.7630481746188543,0.38402612108151246
adaboost_regressor,S_I,1.617239468577364e-13,0.08239143376757486,-0.08239143376741315
adaboost_regressor,S_N2,0.6795528543231293,0.7017594936267192,-0.022206639303589903
adaboost_regressor,S_NH4,0.47132227928388304,0.42325865699721044,0.0480636222866726
adaboost_regressor,S_NO2,0.8671748604502678,0.8812610305323074,-0.014086170082039606
adaboost_regressor,S_NO3,0.49894631522834426,0.4825082546370528,0.016438060591291437
adaboost_regressor,S_O,0.42926670373109943,0.42815558058578895,0.0011111231453104775
adaboost_regressor,S_PO4,0.5235915139931099,0.6035046500344855,-0.07991313604137562
adaboost_regressor,X_AOB,0.44649375300200383,0.4484917025144458,-0.0019979495124419766
adaboost_regressor,X_H,0.9545637846239755,0.5094289776269705,0.44513480699700503
adaboost_regressor,X_I,0.15979668749029274,0.13051186243322754,0.0292848250570652
adaboost_regressor,X_MeOH,0.6610726780482172,0.6750885357919011,-0.014015857743683857
adaboost_regressor,X_MeP,0.3950265538296108,0.5286706323134769,-0.13364407848386606
adaboost_regressor,X_NOB,0.311386225961012,0.3141514856724023,-0.0027652597113903
adaboost_regressor,X_PAO,0.2388312615803863,0.22034576600958683,0.01848549557079948
adaboost_regressor,X_PHA,0.6596361287174544,0.6591149981115024,0.0005211306059519361
adaboost_regressor,X_PP,0.6426488823707854,0.6276582963635571,0.014990586007228357
adaboost_regressor,X_S,0.38832283082185465,0.37463637175974507,0.01368645906210958
ann_deep_regressor,S_A,0.10552954501420293,0.10880073480282086,-0.0032711897886179286
ann_deep_regressor,S_ALK,0.00201644619733796,0.06302536140966361,-0.061008915212325654
ann_deep_regressor,S_F,0.4521670336680512,0.45272225511054864,-0.0005552214424974222
ann_deep_regressor,S_I,1.490625563585048e-13,0.05899233721378964,-0.058992337213640576
ann_deep_regressor,S_N2,0.12902581182828463,0.1297191385399182,-0.0006933267116335795
ann_deep_regressor,S_NH4,0.06994020326040215,0.07884099117115587,-0.008900787910753716
ann_deep_regressor,S_NO2,0.14559666900983084,0.1529999972214337,-0.007403328211602861
ann_deep_regressor,S_NO3,0.07440227812689124,0.08144864634192112,-0.00704636821502988
ann_deep_regressor,S_O,0.09019659447580575,0.09055236523810863,-0.00035577076230287885
ann_deep_regressor,S_PO4,0.11774433804977247,0.1304705339357259,-0.012726195885953445
ann_deep_regressor,X_AOB,0.08034696665788241,0.08035000946264804,-3.0428047656377855e-06
ann_deep_regressor,X_H,0.1570480013523734,0.09214190899614187,0.06490609235623153
ann_deep_regressor,X_I,0.06476984808954314,0.06139462951234478,0.0033752185771983648
ann_deep_regressor,X_MeOH,0.18241396560082052,0.18892586964613178,-0.0065119040453112675
ann_deep_regressor,X_MeP,0.10901019939065719,0.125039997706056,-0.016029798315398816
ann_deep_regressor,X_NOB,0.08852195113624453,0.08862349563021198,-0.00010154449396744536
ann_deep_regressor,X_PAO,0.09344250519504792,0.09143304395846083,0.0020094612365870873
ann_deep_regressor,X_PHA,0.16374185795641255,0.16632681999313537,-0.0025849620367228154
ann_deep_regressor,X_PP,0.14326014739700885,0.15238140423672925,-0.009121256839720399
ann_deep_regressor,X_S,0.08803382371117277,0.08803989199266585,-6.06828149307681e-06
catboost_regressor,S_A,0.23443657638411333,0.23669162496120322,-0.0022550485770898854
catboost_regressor,S_ALK,0.00360358898296352,0.01036342002638958,-0.00675983104342606
catboost_regressor,S_F,0.4792328282907752,0.4792377611901144,-4.932899339227248e-06
catboost_regressor,S_I,1.4916514800830167e-13,0.0072337708069300805,-0.007233770806780915
catboost_regressor,S_N2,0.3386190561790516,0.3505015108109417,-0.011882454631890138
catboost_regressor,S_NH4,0.11263475579576776,0.10579624986607439,0.0068385059296933726
catboost_regressor,S_NO2,0.4206520665672476,0.43462947658838463,-0.01397741002113706
catboost_regressor,S_NO3,0.16790134321610653,0.17406402365833976,-0.006162680442233226
catboost_regressor,S_O,0.10056177039750176,0.10078876620832686,-0.00022699581082509523
catboost_regressor,S_PO4,0.2243492045913867,0.24596082601101657,-0.021611621419629884
catboost_regressor,X_AOB,0.08393116047780286,0.0842675524374876,-0.0003363919596847398
catboost_regressor,X_H,0.20083034579341708,0.09345999721317007,0.10737034858024701
catboost_regressor,X_I,0.02963987828807916,0.014496837871230439,0.01514304041684872
catboost_regressor,X_MeOH,0.3090588789296645,0.3162566656256953,-0.007197786696030828
catboost_regressor,X_MeP,0.18467045045814215,0.1946430537342314,-0.009972603276089259
catboost_regressor,X_NOB,0.09984787060875659,0.10006795299204178,-0.0002200823832851917
catboost_regressor,X_PAO,0.09610793634094224,0.09339488551914006,0.0027130508218021765
catboost_regressor,X_PHA,0.2926869428255334,0.29513686303673253,-0.002449920211199108
catboost_regressor,X_PP,0.2817528213869518,0.2861988534194231,-0.004446032032471292
catboost_regressor,X_S,0.08597942545145723,0.08597942545147041,-1.3183898417423734e-14
extra_trees_regressor,S_A,0.5168356666889894,0.5026130975940729,0.014222569094916482
extra_trees_regressor,S_ALK,0.00994298371985888,0.4975942447772793,-0.48765126105742046
extra_trees_regressor,S_F,1.678598817782018,0.7619633669553649,0.916635450826653
extra_trees_regressor,S_I,1.596273295353e-13,0.4850542423443157,-0.48505424234415606
extra_trees_regressor,S_N2,0.5419324269240686,0.5591188016139164,-0.01718637468984774
extra_trees_regressor,S_NH4,0.3076290815051394,0.434367338169504,-0.1267382566643646
extra_trees_regressor,S_NO2,0.5813044146605606,0.594901327374533,-0.013596912713972453
extra_trees_regressor,S_NO3,0.36843336085876865,0.3787457114114687,-0.010312350552700023
extra_trees_regressor,S_O,0.3445720398478561,0.34090124676252437,0.003670793085331747
extra_trees_regressor,S_PO4,0.4179421043670456,0.6631466003789248,-0.2452044960118792
extra_trees_regressor,X_AOB,0.5561172751138149,0.5566312604284406,-0.0005139853146256534
extra_trees_regressor,X_H,0.913601562861591,0.6934697187279519,0.22013184413363907
