model_key,model,model_category,sample_size,setup_seconds_mean,setup_seconds_std,search_seconds_mean,search_seconds_std,raw_latency_ms_per_sample_mean,raw_latency_ms_per_sample_std,projection_latency_ms_per_sample_mean,projection_latency_ms_per_sample_std,end_to_end_latency_ms_per_sample_mean,end_to_end_latency_ms_per_sample_std,maximum_repeated_prediction_difference_mean,maximum_repeated_prediction_difference_std,fold_count
xgboost_regressor,XGBoost,Boosting,10000,12.457688499987125,4.648023591934602,3810.9499614,547.5486941210213,0.0596522265368548,0.0021726796626405,0.0975579687292338,0.0145849898177177,0.1648645897148526,0.0102647555258167,0.0,0.0,5
lightgbm_regressor,LightGBM,Boosting,10000,3.956653760001063,0.8284553958227633,1126.0372764,148.4233795636592,0.0971431446032511,0.0190410846078332,0.0840208398585673,0.0122868744823875,0.197353164139713,0.0139148878012019,0.0,0.0,5
catboost_regressor,CatBoost,Boosting,10000,33.30343276001513,5.027976098665124,8165.419130599999,479.6594362796327,0.0676943749567726,0.0057860681118606,0.1234927344739844,0.051692262535627,0.1997133984332322,0.051807626291817,0.0,0.0,5
adaboost_regressor,AdaBoost,Boosting,10000,18.54762300001457,6.043185425289957,5894.1438142,590.0668351100951,1.0309734570910225,0.2672440903041347,0.090124140615444,0.0411035016224436,1.1101032032001967,0.2961128303971493,0.0,0.0,5
random_forest_regressor,Random Forest,Randomized tree ensembles,10000,6.886862639943137,0.6432891326877627,1452.3271602,126.79371059380176,0.1375570702748518,0.001810350689719,0.0681493359024898,0.0042969561896286,0.2117033399372303,0.0084702917465906,1.9895196601282805e-13,5.317214951750687e-14,5
extra_trees_regressor,Extra Trees,Randomized tree ensembles,10000,2.832168119959533,0.6049804095045722,705.2133512,97.84190572928156,0.146078828129248,0.0212869251926427,0.1053167577993008,0.0453112121565393,0.2483983984348015,0.0666246424563956,5.684341886080803e-14,0.0,5
svr_regressor,SVR,Kernel,10000,56.02062479997985,12.93778932934394,11082.7690802,1899.833669162388,1.8736324218934897,0.0927162637394773,0.0921999218917335,0.041936619560329,2.0008387499729,0.204299949841462,0.0,0.0,5
knn_regressor,k-NN,Instance based,10000,0.0251852799672633,0.0126609066012993,99.3437014,29.671283339253577,0.1574369531226693,0.0966865348722863,0.140134335924813,0.0028561298348932,0.3147982226437307,0.107221968448997,0.0,0.0,5
pls_regressor,PLS,Interpretable models,10000,0.1660925200674682,0.0747508241519758,48.7508978,7.164598031950689,0.0010155468316952,0.0002575688352931,0.1441669922314759,0.012852877910052,0.1515010155344498,0.0072979746481174,0.0,0.0,5
multitask_elastic_net_regressor,Multi-task Elastic Net,Interpretable models,10000,0.0242499799933284,0.003882866037707,15.5933898,0.2226894300381148,0.001055136681316,0.0005257366685517,0.1406261521879059,0.011684803692882,0.1492681641138915,0.012160379188767,0.0,0.0,5
multitask_lasso_regressor,Multi-task Lasso,Interpretable models,10000,0.0272683800198137,0.0063275814301048,14.2124058,0.2957206755465371,0.0010273828138451,0.0007732479684526,0.1386899414228537,0.016070532295524,0.1446904297154105,0.010568785402705,0.0,0.0,5
ann_deep_regressor,MLP,Neural networks,10000,20.45862157996744,10.824326454165869,5016.2393162,1298.026502896601,0.0047414844630111,0.0032465219979634,0.1151027149262517,0.0461786037644337,0.1071147265520267,0.0468706658241444,0.0,0.0,5
tabnet_regressor,TabNet,Neural networks,10000,24.731401640037078,4.058959197800638,5971.0426886000005,215.0162774756374,0.0234682031987176,0.0051077570969372,0.1398158398842497,0.0409943200193946,0.1169631836091866,0.0138846081061897,0.0,0.0,5
