regime,model_key,component,projected,raw,delta_component_nRMSE
mild,adaboost_regressor,S_A,0.5310584717717178,0.5306433188834992,0.000415152888218584
mild,adaboost_regressor,S_ALK,0.0211062394825741,0.0893580361020133,-0.0682517966194392
mild,adaboost_regressor,S_F,1.3108591829137886,1.3015296599849704,0.009329522928818168
mild,adaboost_regressor,S_I,2.1720042006509506e-13,0.0876325363940065,-0.0876325363937893
mild,adaboost_regressor,S_N2,0.831957333291271,0.8690204972519543,-0.03706316396068332
mild,adaboost_regressor,S_NH4,0.5979923073248494,0.6673745250560166,-0.06938221773116715
mild,adaboost_regressor,S_NO2,1.1828289029187211,1.2021589240994854,-0.019330021180764323
mild,adaboost_regressor,S_NO3,0.818138973704559,0.822435893209144,-0.004296919504584995
mild,adaboost_regressor,S_O,0.7309060390366371,0.7299880603283169,0.0009179787083202218
mild,adaboost_regressor,S_PO4,0.5388454042690425,0.6068828977039625,-0.06803749343492005
mild,adaboost_regressor,X_AOB,0.6611885759359734,0.6607052439843478,0.0004833319516255319
mild,adaboost_regressor,X_H,1.1874068318393938,0.7055831483666694,0.4818236834727244
mild,adaboost_regressor,X_I,0.2443591833223095,0.2007263863865194,0.043632796935790086
mild,adaboost_regressor,X_MeOH,0.6963038011327558,0.7094492362264797,-0.0131454350937239
mild,adaboost_regressor,X_MeP,0.416119250034554,0.5542367170851586,-0.13811746705060463
mild,adaboost_regressor,X_NOB,0.4258180499648021,0.4280839940497059,-0.0022659440849037704
mild,adaboost_regressor,X_PAO,0.2609383504148785,0.2512132368900155,0.009725113524862994
mild,adaboost_regressor,X_PHA,0.723162357581806,0.7232059466648082,-4.3589083002171236e-05
mild,adaboost_regressor,X_PP,0.6480311939967427,0.6320337752828664,0.015997418713876277
mild,adaboost_regressor,X_S,0.6469213662786073,0.6410657072878573,0.005855658990750023
mild,ann_deep_regressor,S_A,0.1278411285300291,0.1361696967700391,-0.008328568240009993
mild,ann_deep_regressor,S_ALK,0.0041162381162578,0.0891142758266907,-0.08499803771043289
mild,ann_deep_regressor,S_F,0.8426743255275534,0.844498538398646,-0.0018242128710925787
mild,ann_deep_regressor,S_I,2.03764513134338e-13,0.0963315171756311,-0.09633151717542733
mild,ann_deep_regressor,S_N2,0.2332810879099177,0.222646780469483,0.010634307440434698
mild,ann_deep_regressor,S_NH4,0.135760920018563,0.1795809918106888,-0.0438200717921258
mild,ann_deep_regressor,S_NO2,0.2398610433332786,0.2542720894326564,-0.014411046099377794
mild,ann_deep_regressor,S_NO3,0.1501549028442476,0.195429275313026,-0.04527437246877841
mild,ann_deep_regressor,S_O,0.1540660005326931,0.1547102286263507,-0.0006442280936576061
mild,ann_deep_regressor,S_PO4,0.1570105206934829,0.1788548245312097,-0.021844303837726814
mild,ann_deep_regressor,X_AOB,0.1287672404176024,0.1298597996165952,-0.0010925591989927874
mild,ann_deep_regressor,X_H,0.2726645170018912,0.148237845075108,0.1244266719267832
mild,ann_deep_regressor,X_I,0.0927739774847106,0.0870839472804222,0.005690030204288404
mild,ann_deep_regressor,X_MeOH,0.2791142101495817,0.2899662778673375,-0.010852067717755765
mild,ann_deep_regressor,X_MeP,0.1668018982695757,0.1837459961907442,-0.016944097921168494
mild,ann_deep_regressor,X_NOB,0.1272947979683458,0.1273980516561147,-0.00010325368776889499
mild,ann_deep_regressor,X_PAO,0.1370885683877012,0.1343665848529222,0.00272198353477901
mild,ann_deep_regressor,X_PHA,0.2027572279001014,0.2206163027290636,-0.017859074828962207
mild,ann_deep_regressor,X_PP,0.196655576909643,0.2114667448294769,-0.01481116791983389
mild,ann_deep_regressor,X_S,0.120275441344481,0.1202754413448013,-3.2029934260435766e-13
mild,catboost_regressor,S_A,0.2282862780479002,0.2305193598130686,-0.0022330817651683987
mild,catboost_regressor,S_ALK,0.008866302809392,0.0145359043974303,-0.005669601588038298
mild,catboost_regressor,S_F,1.0183621148267084,1.0183620745800508,4.024665756219292e-08
mild,catboost_regressor,S_I,2.0279395053350105e-13,0.0064684756622188,-0.006468475662016006
mild,catboost_regressor,S_N2,0.5166370857706277,0.5459459833126241,-0.029308897541996393
mild,catboost_regressor,S_NH4,0.2557262717310761,0.3513598407810127,-0.09563356904993658
mild,catboost_regressor,S_NO2,0.6955273244115486,0.7356622992610625,-0.040134974849513894
mild,catboost_regressor,S_NO3,0.3994337654213448,0.4279109410513555,-0.02847717563001073
mild,catboost_regressor,S_O,0.3391427930594559,0.3391613997753052,-1.8606715849300848e-05
mild,catboost_regressor,S_PO4,0.2555689402343577,0.2712812779700968,-0.0157123377357391
mild,catboost_regressor,X_AOB,0.2157482254104777,0.2198583100795624,-0.004110084669084718
mild,catboost_regressor,X_H,0.3824867338179071,0.2306374004601149,0.1518493333577922
