model_key,component,outer_fold,nRMSE_component_projected,nRMSE_component_raw,R2_projected,R2_raw,delta
adaboost_regressor,S_A,0,0.6058745051086937,0.6055548211026379,0.5951043406839753,0.5955315067613192,0.00031968400605575376
adaboost_regressor,S_A,1,0.5767133970997866,0.5752037697208834,0.6310902663886384,0.6330190834898963,0.0015096273789032555
adaboost_regressor,S_A,2,0.6280466473120523,0.6247983703220111,0.6851122615321621,0.6883610568649917,0.0032482769900411546
adaboost_regressor,S_A,3,0.631688424223134,0.6240725933671051,0.6267016546718138,0.635648594471581,0.0076158308560289045
adaboost_regressor,S_A,4,0.5598356460574281,0.5533632473624341,0.6464731115104005,0.6546002822431412,0.006472398694993942
adaboost_regressor,S_ALK,0,0.0161585616343931,0.0760530983938386,0.9997384812155172,0.9942066293547784,-0.059894536759445505
adaboost_regressor,S_ALK,1,0.0163056908589938,0.083697848545387,0.999739147272082,0.9931270123504572,-0.0673921576863932
adaboost_regressor,S_ALK,2,0.0171687567085758,0.0593595643321863,0.9997186782246984,0.9966371533294186,-0.04219080762361051
adaboost_regressor,S_ALK,3,0.0163694025508891,0.0778228018095499,0.999717194227096,0.9936080063105334,-0.06145339925866079
adaboost_regressor,S_ALK,4,0.0157693449533206,0.0816845422320115,0.9997477101316348,0.9932305674954872,-0.06591519727869091
adaboost_regressor,S_F,0,1.2377468397818,0.7085177099372567,-0.9096794900868456,0.3742537552846279,0.5292291298445432
adaboost_regressor,S_F,1,0.7925669138831376,0.7873986791071248,0.4626332207257326,0.4696185808486485,0.005168234776012803
adaboost_regressor,S_F,2,1.402786233850204,0.7373463859829271,-1.1170023689262143,0.415100210226006,0.6654398478672768
adaboost_regressor,S_F,3,0.9120175908513876,0.7361553647563523,0.0459882241387338,0.3784354056227984,0.1758622260950352
adaboost_regressor,S_F,4,1.3902539001353051,0.8458227333106108,-0.5385818903970312,0.4305034738394255,0.5444311668246944
adaboost_regressor,S_I,0,1.6048502284309332e-13,0.0865215897354715,1.0,0.9922826564928446,-0.08652158973531102
adaboost_regressor,S_I,1,1.621763369485916e-13,0.0900937414067495,1.0,0.992248337786628,-0.09009374140658732
adaboost_regressor,S_I,2,1.637038018040927e-13,0.0660632775973746,1.0,0.995781017105733,-0.0660632775972109
adaboost_regressor,S_I,3,1.6178423305952644e-13,0.0817341805104425,1.0,0.9931121833701348,-0.08173418051028071
adaboost_regressor,S_I,4,1.604703396333778e-13,0.0875443795878362,1.0,0.9921634529618752,-0.08754437958767573
adaboost_regressor,S_N2,0,0.712109820527367,0.7277985103874812,0.5322453583631783,0.5114078552412529,-0.01568868986011418
adaboost_regressor,S_N2,1,0.6629608872478062,0.689545166214565,0.5315013468423788,0.493175069691674,-0.026584278966758745
adaboost_regressor,S_N2,2,0.6776388812831854,0.7087798788359465,0.5409705212592093,0.4978115693227322,-0.031140997552761118
adaboost_regressor,S_N2,3,0.6557109469238159,0.6844604053932851,0.5434276662614759,0.5025134042412398,-0.02874945846946919
adaboost_regressor,S_N2,4,0.689343735633472,0.698213507302318,0.5417617341183882,0.5298935838908623,-0.00886977166884606
adaboost_regressor,S_NH4,0,0.463188053831959,0.4179029799789312,0.7844220052787675,0.8245147316686721,0.04528507385302777
adaboost_regressor,S_NH4,1,0.4695620419752258,0.4296421578292776,0.7832356195439809,0.8185254484303616,0.03991988414594816
adaboost_regressor,S_NH4,2,0.4991609375646698,0.4317602248625143,0.763679190783733,0.8231903176016616,0.06740071270215547
adaboost_regressor,S_NH4,3,0.4732620738974885,0.427320700220569,0.778227526576418,0.819194308271982,0.04594137367691947
adaboost_regressor,S_NH4,4,0.451438289150072,0.4096672220947602,0.7790133490274738,0.8180166348775061,0.041771067055311806
adaboost_regressor,S_NO2,0,0.8659440100569449,0.8851894590474382,0.164465597110975,0.1269136891448437,-0.019245448990493297
