model,model_key,sample_size,mass_violation_rate_mean,nonnegative_violation_rate_mean,negative_standardized_l1_mean_mean
Multi-task Lasso,multitask_lasso_regressor,6200,1.0,0.7112903225806452,0.5167303747752798
Multi-task Lasso,multitask_lasso_regressor,7150,1.0,0.711888111888112,0.5168653058139256
Multi-task Lasso,multitask_lasso_regressor,8100,1.0,0.7050617283950616,0.5149378238148234
Multi-task Lasso,multitask_lasso_regressor,9050,1.0,0.7081767955801105,0.5138619855046568
PLS,pls_regressor,10000,1.0,0.5431,0.3474102568175602
PLS,pls_regressor,1450,1.0,0.5710344827586207,0.3615312912380002
PLS,pls_regressor,2400,1.0,0.5554166666666667,0.3511571399804302
PLS,pls_regressor,3350,1.0,0.551044776119403,0.352256471750917
PLS,pls_regressor,4300,1.0,0.5518604651162791,0.3541188953770438
PLS,pls_regressor,500,1.0,0.538,0.3399439163580449
PLS,pls_regressor,5250,1.0,0.5420952380952382,0.3425144651335617
PLS,pls_regressor,6200,1.0,0.5483870967741936,0.3463381962214943
PLS,pls_regressor,7150,1.0,0.546993006993007,0.3465692999155205
PLS,pls_regressor,8100,1.0,0.5464197530864198,0.3514412225912522
PLS,pls_regressor,9050,1.0,0.5445303867403315,0.3481193112305299
Random Forest,random_forest_regressor,10000,1.0,0.0,0.0
Random Forest,random_forest_regressor,1450,1.0,0.0,0.0
Random Forest,random_forest_regressor,2400,1.0,0.0,0.0
Random Forest,random_forest_regressor,3350,1.0,0.0,0.0
Random Forest,random_forest_regressor,4300,1.0,0.0,0.0
Random Forest,random_forest_regressor,500,1.0,0.0,0.0
Random Forest,random_forest_regressor,5250,1.0,0.0,0.0
Random Forest,random_forest_regressor,6200,1.0,0.0,0.0
Random Forest,random_forest_regressor,7150,1.0,0.0,0.0
Random Forest,random_forest_regressor,8100,1.0,0.0,0.0
Random Forest,random_forest_regressor,9050,1.0,0.0,0.0
SVR,svr_regressor,10000,1.0,0.7678,0.2221886821225741
SVR,svr_regressor,1450,1.0,0.72,0.2844401225410108
SVR,svr_regressor,2400,1.0,0.7279166666666667,0.2742486886343981
SVR,svr_regressor,3350,1.0,0.7402985074626866,0.2601638529495842
SVR,svr_regressor,4300,1.0,0.7502325581395348,0.2509582212842189
SVR,svr_regressor,500,1.0,0.6839999999999999,0.2714375090950548
SVR,svr_regressor,5250,1.0,0.7493333333333333,0.240952701720167
SVR,svr_regressor,6200,1.0,0.7512903225806451,0.2376767191184576
SVR,svr_regressor,7150,1.0,0.7511888111888112,0.2317794847760706
SVR,svr_regressor,8100,1.0,0.7587654320987655,0.2277514185011261
SVR,svr_regressor,9050,1.0,0.7615469613259668,0.2239723451455209
TabNet,tabnet_regressor,10000,1.0,0.6048,0.0827201533428163
TabNet,tabnet_regressor,1450,1.0,0.713103448275862,0.2729331576119557
TabNet,tabnet_regressor,2400,1.0,0.7716666666666667,0.2898004731616891
TabNet,tabnet_regressor,3350,1.0,0.8417910447761194,0.2856161073346031
TabNet,tabnet_regressor,4300,1.0,0.7823255813953488,0.1924072418514066
TabNet,tabnet_regressor,500,1.0,0.458,0.2156005648513364
TabNet,tabnet_regressor,5250,1.0,0.7394285714285714,0.1983724890294597
TabNet,tabnet_regressor,6200,1.0,0.6964516129032259,0.1478135276974682
TabNet,tabnet_regressor,7150,1.0,0.7804195804195804,0.184583505165453
TabNet,tabnet_regressor,8100,1.0,0.7287654320987654,0.1607020102653577
TabNet,tabnet_regressor,9050,1.0,0.7238674033149171,0.1375167341477539
XGBoost,xgboost_regressor,10000,1.0,0.3972,0.0266908394870843
XGBoost,xgboost_regressor,1450,1.0,0.3537931034482758,0.0157077398122356
XGBoost,xgboost_regressor,2400,1.0,0.3466666666666667,0.0173473246463478
XGBoost,xgboost_regressor,3350,1.0,0.3408955223880597,0.0175912203033373
XGBoost,xgboost_regressor,4300,1.0,0.3465116279069767,0.0195429998370151
XGBoost,xgboost_regressor,500,1.0,0.3339999999999999,0.0216890306562184
XGBoost,xgboost_regressor,5250,1.0,0.3577142857142857,0.0213864866032814
XGBoost,xgboost_regressor,6200,1.0,0.3696774193548387,0.0230781501444571
XGBoost,xgboost_regressor,7150,1.0,0.3756643356643357,0.0241245196656225
XGBoost,xgboost_regressor,8100,1.0,0.3833333333333333,0.0256113263976996
XGBoost,xgboost_regressor,9050,1.0,0.3876243093922652,0.0260419916389525
