colA,colB,colC,colD,colE,colF,colG,colH,colI,colJ,colK
$a_1^\top$,0,0,0,-0.493398,-0.499144,-0.499144,-0.496271,-0.016018,0.031680,-0.040218
$a_2^\top$,0,0,0,-0.033427,-0.009065,-0.009065,-0.021246,0.683584,-0.113953,0.170531
$a_3^\top$,0,0,0,-0.015560,0.038009,0.038009,0.011224,0.018519,0.822862,0.374985
$a_4^\top$,0,0,0,0.108417,-0.019450,-0.019450,0.044483,0.150345,0.258480,-0.895071
$a_5^\top$,0,0,0,-0.006905,-0.023309,-0.023309,-0.015107,0.049396,0.492034,-0.114822
